DATE,SHIFTS,MC GM-1,MC GM-2,MC GM-3,MC GM-4,MC GM-5,MC GM-6,MC NL-1,MC NL-2,Upcoming.
"06, Thursday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,36034,35718,FALSE
"06, Thursday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,36034,35718,FALSE
"06, Thursday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Friday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"07, Friday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"07, Friday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Monday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"10, Monday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"10, Monday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Tuesday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"11, Tuesday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"11, Tuesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"12, Wednesday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"12, Wednesday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,35426,35718,FALSE
"12, Wednesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"13, Thursday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,36028,35718,FALSE
"13, Thursday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,36028,35718,FALSE
"13, Thursday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"14, Friday, Mar 2025",SHIFT-1,35627,33441,35131,35680,36900,35858,36028,35718,FALSE
"14, Friday, Mar 2025",SHIFT-2,35627,33441,35131,35680,36900,35858,36028,35718,FALSE
"14, Friday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Monday, Mar 2025",SHIFT-1,35627,33441,35131,35680,35775,35858,36028,35718,FALSE
"17, Monday, Mar 2025",SHIFT-2,35627,33441,35131,35680,35775,35858,36028,35718,FALSE
"17, Monday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Tuesday, Mar 2025",SHIFT-1,35627,SIZE CHANGEOVER,35131,35680,35775,35858,36028,35718,FALSE
"18, Tuesday, Mar 2025",SHIFT-2,35627,SIZE CHANGEOVER,35131,35680,35775,35858,36028,35718,FALSE
"18, Tuesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Wednesday, Mar 2025",SHIFT-1,35627,36033,35131,35680,35775,35227,36028,35718,FALSE
"19, Wednesday, Mar 2025",SHIFT-2,35627,36033,35131,35680,35775,35227,36028,35718,FALSE
"19, Wednesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Thursday, Mar 2025",SHIFT-1,SIZE CHANGEOVER,36033,35131,35680,35775,35227,36028,35718,FALSE
"20, Thursday, Mar 2025",SHIFT-2,SIZE CHANGEOVER,36033,35131,35680,35775,35227,36028,35718,FALSE
"20, Thursday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"21, Friday, Mar 2025",SHIFT-1,33901,SIZE CHANGEOVER,35131,35680,35775,35227,35680,35718,FALSE
"21, Friday, Mar 2025",SHIFT-2,33901,SIZE CHANGEOVER,35131,35680,35775,35227,35680,35718,FALSE
"21, Friday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Monday, Mar 2025",SHIFT-1,33901,36030,35131,35680,35775,35781,35680,36860,FALSE
"24, Monday, Mar 2025",SHIFT-2,33901,36030,35131,35680,35775,35781,35680,36860,FALSE
"24, Monday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Tuesday, Mar 2025",SHIFT-1,33901,36030,35131,35680,SIZE CHANGEOVER,35781,35680,36860,FALSE
"25, Tuesday, Mar 2025",SHIFT-2,33901,36030,35131,35680,SIZE CHANGEOVER,35781,35680,36860,FALSE
"25, Tuesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Wednesday, Mar 2025",SHIFT-1,33901,36030,35131,35680,36961,35781,35680,36860,FALSE
"26, Wednesday, Mar 2025",SHIFT-2,33901,36030,35131,35680,36961,35781,35680,36860,FALSE
"26, Wednesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Thursday, Mar 2025",SHIFT-1,33901,36030,35131,35680,36961,35781,35680,36860,FALSE
"27, Thursday, Mar 2025",SHIFT-2,33901,SIZE CHANGEOVER,35131,35680,36961,35781,35680,36860,FALSE
"27, Thursday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"28, Friday, Mar 2025",SHIFT-1,33901,36029,35131,35680,36961,35781,35680,SIZE CHANGEOVER,FALSE
"28, Friday, Mar 2025",SHIFT-2,33901,36029,35131,SIZE CHANGEOVER,36961,35781,35680,SIZE CHANGEOVER,FALSE
"28, Friday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"29, Saturday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"29, Saturday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"29, Saturday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"30, Sunday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"30, Sunday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"30, Sunday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
